A5,hh_altersmok2,smoking,hh_turnover
1,,,.66666669
1,,,0
1,20,0,0
1,15,0,0
0,0,0,.66666669
0,0,0,.5
3,,,0
3,20,0,0
3,15,0,0
3,,,.66666669
3,,,.5
0,,,0
0,0,10,0
0,0,10,0
0,0,20,0
0,1,20,0
0,8,20,0
1,,,0
1,10,0,0
1,10,0,0
1,20,0,0
1,21,0,0
1,28,0,0
3,,,0
3,,,0
3,,,0
3,,,0
3,21,0,0
3,28,0,0
2,20,1,0
2,20,8,0
0,,,0
0,,,0
0,,,0
0,0,15,0
0,0,15,0
0,0,20,0
0,0,20,0
0,0,30,0
0,0,30,0
0,0,30,0
1,,,0
1,15,0,0
1,15,0,0
1,20,0,0
1,20,0,0
1,30,0,0
1,30,0,0
1,30,0,0
3,,,0
3,,,0
3,,,0
3,,,0
3,20,0,0
3,30,0,0
3,,,0
3,,,0
0,,,0
0,0,0,0
0,0,4,.25
0,,,.25
1,,,0
1,0,0,0
1,4,0,.25
1,0,0,.25
0,0,0,.66666669
3,,,0
3,0,0,0
,,,.25
3,,,.25
3,,,.66666669
3,,,0
3,0,0,0
3,4,0,.25
3,,,.25
3,,,.66666669
0,,,0
0,0,4,0
0,0,4,0
0,0,5,.25
0,0,4,.25
0,0,5,.40000001
0,0,3,.40000001
0,0,6,.5
1,,,0
1,4,0,0
1,4,0,0
1,5,0,.25
1,4,0,.25
1,5,0,.40000001
1,3,0,.40000001
1,6,0,.5
3,,,0
3,4,0,0
3,4,0,0
3,5,0,.25
3,4,0,.25
3,,,.40000001
3,,,.40000001
3,,,.5
3,,,0
3,,,0
3,4,0,0
3,,,.25
3,3,0,.40000001
3,,,.5
2,,,.25
2,,,.25
2,,,.40000001
2,,,.40000001
3,,,.25
3,5,0,.40000001
0,,,0
0,,,0
0,,,0
0,,,0
0,,,0
0,0,2,0
0,0,0,0
0,0,10,0
0,0,10,0
0,0,10,0
1,,,0
1,,,0
1,2,0,0
1,2,0,0
1,0,0,0
1,10,0,0
1,10,0,0
1,10,0,0
3,,,0
3,,,0
3,0,0,0
3,10,0,0
3,,,0
3,,,0
0,,,0
0,0,20,0
0,0,20,0
1,,,0
1,20,0,0
1,20,0,0
3,,,0
3,,,0
3,20,0,0
3,20,0,0
3,,,0
3,15,0,0
3,10,0,0
0,0,0,
1,0,0,
3,,,
0,0,0,
0,0,0,0
0,0,1,0
0,0,1,0
0,0,0,.33333334
1,0,0,
1,0,0,0
1,,,0
1,1,0,0
1,0,0,.33333334
3,0,0,
3,0,0,0
3,1,0,0
3,1,0,0
3,,,.33333334
0,0,20,
0,0,13,0
1,20,0,
1,13,0,0
3,20,0,
3,13,0,0
5,,,0
0,0,15,
0,0,10,0
0,0,20,.33333334
0,0,1,.33333334
1,15,0,
1,10,0,0
1,20,0,.33333334
1,1,0,.33333334
3,15,0,
3,10,0,0
3,,,.33333334
3,,,.33333334
0,0,20,
0,0,1,0
0,0,24,0
1,20,0,
1,1,0,0
1,24,0,0
3,20,0,
3,1,0,0
3,24,0,0
5,,,0
5,,,0
0,0,0,
0,,,.5
3,0,0,
3,0,0,.5
0,0,0,0
0,0,0,0
0,0,0,0
0,0,10,
0,0,20,0
0,0,20,0
0,0,0,0
0,0,0,0
1,10,0,
1,20,0,0
1,20,0,0
1,0,0,0
1,0,0,0
0,0,4,
0,0,6,.33333334
0,0,4,0
0,0,4,.33333334
0,0,12,.33333334
1,4,0,
1,6,0,.33333334
1,4,0,0
1,4,0,.33333334
1,12,0,.33333334
3,,,
3,,,.33333334
3,,,0
3,,,.33333334
3,,,.33333334
0,0,0,
0,0,0,0
0,0,0,0
0,0,20,0
0,0,20,.33333334
1,0,0,
1,0,0,0
1,0,0,0
1,20,0,0
1,20,0,.33333334
3,0,0,
3,0,0,0
3,0,0,0
3,20,0,0
3,,,.33333334
0,0,0,
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,5,20,
0,5,30,0
0,6,30,0
1,10,30,0
0,10,30,0
0,20,5,
1,30,5,0
1,30,6,0
0,30,10,0
1,30,10,0
0,0,0,
0,0,0,.5
1,0,1,0
0,0,0,0
1,0,0,
1,0,0,.5
0,1,0,0
1,0,0,0
3,,,
3,,,.5
3,,,
3,,,.5
0,0,1,
0,0,1,0
0,0,0,0
0,0,0,0
1,1,0,
1,1,0,0
1,0,0,0
1,0,0,0
3,1,0,
3,,,0
,,,0
0,0,30,
0,0,20,.33333334
0,0,20,.33333334
0,0,20,.33333334
1,30,0,
1,20,0,.33333334
1,20,0,.33333334
1,20,0,.33333334
3,30,0,
3,,,.33333334
3,,,.33333334
3,,,.33333334
0,1,1,
1,1,1,
3,,,
3,,,
0,4,1,
0,4,0,0
1,1,4,
1,0,4,0
5,5,0,
5,4,0,0
0,,,0
0,0,20,.16666667
0,0,0,.14285715
0,0,6,.71428573
1,,,0
1,20,0,.16666667
1,0,0,.14285715
1,6,0,.71428573
3,,,0
3,20,0,.16666667
3,,,.14285715
3,,,.71428573
3,,,0
,,,.16666667
,,,.14285715
3,,,.71428573
3,,,0
3,20,0,.16666667
3,0,0,.14285715
3,,,.71428573
8,,,0
7,20,0,.16666667
