A5,hh_altersmok,smoking,log_inc,class,gender,A12,han
0,0,0,11.51957,7,2,5,1
1,0,0,11.717226,8,1,5,1
3,,,10.706983,,1,,1
0,.5,1,10.527642,4,1,2,1
1,1.5,0,9.1413479,1,2,4,0
3,,,9.1413479,1,2,0,1
0,15,0,9.9034872,,2,3,1
1,0,15,11.289782,7,1,3,1
3,15,0,9.9034872,,2,3,1
0,10,1,11.055222,13,2,5,1
3,1,10,11.097918,8,1,5,1
0,2.9802322e-08,1,10.559327,4,1,2,1
1,1,0,9.2624769,1,2,3,1
3,1,0,9.2624769,,2,2,1
0,0,0,10.56988,13,1,2,1
1,0,0,10.829206,13,2,5,0
0,0,0,10.898343,7,2,5,1
1,0,0,10.738279,4,1,5,1
3,,,9.9078112,,2,,1
0,0,0,10.805679,13,2,2,1
1,0,0,10.853213,13,1,2,1
0,3.5,7,10.576432,13,1,2,1
1,10.5,0,10.118599,13,2,2,1
3,,,9.4572001,,1,0,1
0,1,0,10.616952,4,1,2,1
1,1,0,10.724381,13,2,5,1
3,2.9802322e-08,1,9.7480612,4,1,4,1
0,0,0,10.833868,7,1,5,1
1,0,0,11.060262,7,2,5,1
3,,,10.047998,,2,,1
0,1,0,10.791379,13,2,3,1
1,2.9802322e-08,1,10.874267,4,1,3,1
3,1,0,10.885566,7,2,6,1
0,0,0,10.181119,13,2,2,1
1,0,0,10.586584,13,1,4,1
3,0,0,10.645425,4,2,5,1
0,10,0,10.514837,7,2,5,1
1,-2.3841858e-07,10,9.1332788,1,1,3,1
3,10,0,9.1332788,12,2,6,1
0,0,0,11.003737,7,1,6,1
1,0,0,11.003737,7,2,5,1
3,0,0,10.089898,,1,2,1
0,0,0,11.045771,4,1,5,1
1,0,0,10.783002,7,2,5,1
3,,,10.007603,,1,,1
0,0,0,11.420287,7,2,5,1
1,0,0,11.213877,4,1,5,1
3,,,10.408869,,1,0,1
0,0,0,11.51957,7,2,4,1
1,0,0,11.632189,8,1,5,1
3,0,0,10.661173,,1,3,1
