class1991,class2000,class2011,male1,smoking2000,smoking2011,drink2000,drink2011,prest00,prest91,prest11
student,farmer,farmer,1.12,3.5263157,10.807693,.96153843,2.2692308,32,49,32
retired,farmer,farmer,1.12,1,5,5,5,32,49,32
,farmer,farmer,1,1.2573839,1.2671756,.13740458,.083969466,32,,32
,farmer,farmer,1.12,9.7237568,10.704433,1.8078818,2.182266,32,,32
unemp,farmer,retired,1,0,0,0,0,32,25,49
labor,farmer,retired,1,0,0,0,0,32,60,49
labor,farmer,retired,1.12,13.666667,6.6666665,3.3333333,2.3333333,32,60,49
owner,farmer,retired,1.12,0,13,2,1,32,75,49
farmer,farmer,retired,1,.33333334,.5,.40000001,0,32,32,49
farmer,farmer,retired,1.12,10.428572,10,2.4285715,1.8571428,32,32,49
student,farmer,retired,1.12,10,.5,0,0,32,49,49
retired,farmer,retired,1.12,0,0,5,0,32,49,49
,farmer,retired,1,0,0,1.6666666,1.6666666,32,,49
,farmer,retired,1.12,11.666667,3.5,2,1.2,32,,49
unemp,farmer,,1,.42857143,,.47058824,,32,25,
unemp,farmer,,1.12,7.625,,2,,32,25,
labor,farmer,,1,0,,0,,32,60,
labor,farmer,,1.12,9.666667,,2.2121212,,32,60,
self emp,farmer,,1,0,,1.2,,32,55,
self emp,farmer,,1.12,10.4,,2.1666667,,32,55,
owner,farmer,,1,0,,.33333334,,32,75,
owner,farmer,,1.12,15.705882,,3.1176472,,32,75,
soldier,farmer,,1.12,10,,0,,32,62,
farmer,farmer,,1,.18983051,0,.32826748,0,32,32,
farmer,farmer,,1.12,10.767858,,2.0359898,,32,32,
student,farmer,,1,0,,.12790698,,32,49,
student,farmer,,1.12,6.159091,,1.018405,,32,49,
retired,farmer,,1.12,17.5,,3.75,,32,49,
,farmer,,1,.75925928,10,.17192982,0,32,,
,farmer,,1.12,9.0618553,,1.6728972,,32,,
student,student,unemp,1,0,0,.21428572,.5,49,49,25
student,student,unemp,1.12,0,6.4000001,.53333336,1.6333333,49,49,25
,student,unemp,1,0,0,.043478262,.2173913,49,,25
,student,unemp,1.12,0,5.2916665,.16666667,1.2083334,49,,25
student,student,labor,1,0,0,.043478262,.30434781,49,49,60
