province,aids_incidence,aids_mort,aid_morb,aid_mortrate,hiv_incidence,hiv_mort,hiv_morb,hiv_mortrate,year,morb_ipolate,report,report_ipolate,org,sjw,news
sx,252,62,.7013,.1725,510,86,1.4193,.2393,2012,1.4193,,77,.2,15.400001,145.03999
sx,312,82,.8641,.2271,586,75,1.6229,.2077,2013,1.6229,,86,.2,17.200001,120.96
tj,,,,,34,,.3659,,2004,.3659,11,11,3,33,541
tj,14,3,.1344,.0288,36,1,.3457,.0096,2005,.3457,38,38,3,114,433
tj,20,5,.1918,.0479,58,3,.5561,.0288,2006,.5561,39,39,3,117,559
tj,25,9,.2326,.0837,81,3,.7535,.0279,2007,.7535,25,25,3,75,418
tj,29,10,.2601,.0897,145,2,1.3004,.0179,2008,1.3004,32,32,3,96,255
tj,39,14,.3316,.119,203,4,1.7262,.034,2009,1.7262,50,50,3,150,243
tj,58,22,.4723,.1791,204,13,1.661,.1058,2010,1.661,59,59,3,177,240
tj,58,22,.4723,.1791,204,13,1.661,.1058,2011,1.661,,68,3,204,169.67999
tj,156,27,1.1516,.1993,361,14,2.665,.1034,2012,2.665,,77,3,231,145.03999
tj,194,24,1.3728,.1698,335,10,2.3706,.0708,2013,2.3706,,86,3,258,120.96
tuan,,,,,1,,.0393,,2004,.0393,11,11,.2,2.2,541
tuan,,1,,.0393,10,1,.3934,.0393,2005,.3934,38,38,.2,7.5999999,433
tuan,6,1,.2335,.0389,10,,.3891,,2006,.3891,39,39,.2,7.8000002,559
tuan,5,4,.1938,.1551,17,1,.6591,.0388,2007,.6591,25,25,.2,5,418
tuan,4,3,.1548,.1161,39,1,1.5089,.0387,2008,1.5089,32,32,.2,6.4000001,255
tuan,7,5,.272,.1943,76,4,2.9537,.1555,2009,2.9537,50,50,.2,10,243
tuan,10,4,.3886,.1555,74,9,2.8759,.3498,2010,2.8759,59,59,.2,11.8,240
tuan,10,4,.3886,.1555,74,9,2.8759,.3498,2011,2.8759,,68,.2,13.6,169.67999
tuan,33,10,1.2626,.3826,99,24,3.7877,.9182,2012,3.7877,,77,.2,15.400001,145.03999
tuan,39,10,1.4725,.3776,76,26,2.8694,.9816,2013,2.8694,,86,.2,17.200001,120.96
xj,18,5,.0968,.0269,528,,2.8381,,2004,2.8381,11,11,1,11,541
xj,104,6,.5233,.0302,1726,8,8.684799999999999,.0403,2005,8.684799999999999,38,38,1,38,433
xj,268,12,1.3333,.0597,4120,21,20.4974,.1045,2006,20.4974,39,39,1,39,559
xj,253,39,1.2341,.1902,2956,27,14.4195,.1317,2007,14.4195,25,25,1,25,418
xj,218,151,1.0406,.7208,3839,192,18.3246,.9165,2008,18.3246,32,32,1,32,255
xj,406,255,1.9054,1.1967,4249,380,19.9409,1.7834,2009,19.9409,50,50,1,50,243
xj,539,356,2.4969,1.6492,3720,422,17.2331,1.9549,2010,17.2331,59,59,1,59,240
